,term,controversy,tfidf,logodds
141,appease,,2.8248244121359034e-05,
142,signaled,,0.00014133020990832814,0.7220945244523405
143,israeli,,9.176514280031759e-05,0.35089147995069825
144,politically,,0.0002219683362051325,0.11160162139077412
145,overviews,,4.782335539199414e-06,
146,crossed,,0.0001059329405338119,0.0828440620957215
147,swarmed,,1.1330973127437635e-05,
148,playtime,,2.8740183407366205e-05,
149,pc,,1.6974171894994895e-05,
150,alleviate,,0.000171627089705865,0.2891575956799778
151,brokerage,,1.006359881191798e-05,
152,dampened,,1.739554271196301e-05,
153,hated,,2.821845209874508e-05,
154,wistfully,,1.662907741150209e-05,
155,inventing,,7.481397106240399e-06,
156,pierson,,5.2424650360755105e-06,
157,coins,,6.436975833107744e-06,
158,painfully,,5.625455703746806e-05,0.4469910208731551
159,trafalgar,,1.1126934161271934e-05,
160,secretarygenerals,,2.2903213955777164e-06,
161,divergent,,2.1764473695339085e-05,
162,recline,,2.2756493559228593e-05,
163,forbearances,,3.6022409303634407e-06,
164,aptly,,2.666505451693196e-05,
165,defiantly,,1.3520940532488805e-05,
166,posts,0.20366741130109076,0.0004689972481506433,0.8424761548845855
167,improves,,4.2957202253796734e-05,
168,flute,,1.762127947936282e-05,
169,krill,,9.89607072894616e-06,
170,soothing,,0.00013862281410459003,0.16677113043222466
171,summarily,,5.5672554551967996e-06,
172,ballroom,,5.923771402455159e-06,
173,humphreys,,1.13686846274265e-05,
174,caving,,1.614952866713724e-05,
175,mediocre,,1.216926099957163e-05,
176,nauseating,,2.4416890612153436e-06,
177,internally,,4.5110889291989664e-05,
178,recites,,6.878062927790299e-06,
179,disposal,,6.194664150645181e-05,0.0304760765784057
180,busing,,7.272936050417544e-06,
181,particles,,0.00023206368564782076,1.0913480372636684
182,9yearold,,5.337387713310934e-05,1.0402928664633841
183,pullman,,1.6827650558337855e-05,
184,witnessing,,5.510814301139503e-05,0.3181581490301866
185,seventy-one,,0.0002171616964093754,0.6840359264792364
186,sixty-five,0.3873118157097024,0.000515695381865388,0.4176330733199586
187,elated,,1.384919988254723e-05,
188,exposure,0.276896769813972,0.0007840231307655449,0.11155077608759796
189,exclusivity,,3.241008941417155e-05,
190,mauis,,1.063920746401614e-05,
191,linkov,,9.63298238269642e-06,
192,geriatrician,,8.484675797209321e-06,
193,lipinski,,7.370031190282977e-05,0.5691450459707161
194,pas,,9.040751813765267e-06,
195,explicit,,5.955174303704778e-05,
196,anteaters,,9.267932155395678e-06,
197,shierholz,,1.5163094301031326e-05,
198,cocacola,,4.325830563737275e-05,
199,tampering,,1.057518238428223e-05,
200,rules,0.20387478747054355,0.0013109441632470447,0.15184548021554903
201,bestowed,,5.4204229205546735e-06,
202,resuscitation,,2.5027709832609066e-05,
203,tablespoons,,0.00017003506945993107,1.2607661892217148
204,primaries,,0.00026710999415946755,0.12642866723142582
205,emergence,,4.892671496850791e-05,
206,shoes,0.3580095750197143,0.0004305837715892975,0.07214877297897351
207,perpetuate,,1.9526824641312625e-05,
208,halifax,,2.107642404537488e-05,
209,incest,,1.198366213070863e-05,
210,cheerleader,,4.4547875168058675e-05,
211,warrants,,5.31468650439516e-05,0.35452579320106153
212,lavigne,,1.8020127810260795e-05,
213,64yearold,,3.451371951145789e-05,
214,misstatements,,1.4932402004208939e-05,
215,washington,0.25482277722672214,0.0025391282212149915,0.18096596045512323
216,mirror,,0.00018927719975935571,0.6167601115959896
217,terrified,,0.00016463170525999652,0.8997528436843846
218,prevents,,0.0001246146371899617,0.7141445131838073
219,potluck,,1.9089077069022313e-05,
220,posture,,0.00016901187538485764,0.7190851932616308
221,lore,,1.540390294342691e-05,
222,finalize,,3.070365087757099e-05,
223,moodboosting,,7.759880914822563e-06,
224,succumbing,,1.4786569659563917e-05,
225,convenient,,0.00011835660634841152,0.23114677204055695
226,oftrepeated,,1.2161844439598512e-05,
227,jameson,,5.868134968900637e-05,
228,mopped,,2.611811267467613e-06,
229,camps,,0.00019431826238531757,0.42563276434851355
230,detailing,,9.281863435526065e-05,0.18462675640566403
231,dworkin,,2.059572242056259e-05,
232,unsupported,,1.284119792947325e-05,
233,xq,,8.726171399395667e-06,
234,recited,,2.1427871232713008e-05,
235,blunts,,1.2309699477539272e-05,
236,doubts,,6.080984298398269e-05,0.35089147995069825
237,proponent,,2.9158307262283943e-05,
238,violation,,0.00016864469387190434,0.14287681023278861
239,krasinskis,,1.719764231706782e-05,
240,deliverables,,3.0138864036208628e-05,
241,fatigued,,5.0888283733365854e-05,0.7236232571383509
242,marinara,,5.0604444130798845e-06,
243,symptoms,0.23101505555419927,0.0029676042749811806,0.17039118632543887
244,medicalgrade,,4.7127668203656006e-05,
245,becerra,,1.4932087522421887e-05,
246,trope,,1.379812188710629e-05,
247,cruelty,,3.259117550539038e-05,0.9647853139552389
248,byzantine,,1.1774129210154172e-05,
249,virtue,,3.844532235062509e-05,
250,stacking,,2.187726400814714e-05,
251,texters,,2.395811650522421e-06,
252,pipers,,5.618916888713579e-06,
253,hostage,,3.437094167177292e-05,
254,xenophobia,,0.00015091771056898086,0.13583659223623176
255,newss,,6.8352355197556025e-06,
256,adopt,,0.00022215222198641873,0.05679338489577907
257,gillies,,5.343141830953151e-06,
258,shears,,6.766737262456091e-05,
259,restricts,,3.2362452451267674e-05,
260,toe,,5.320416499597255e-05,
261,selfcheckout,,2.5009426468425086e-05,
262,pronouncing,,6.3596795335598545e-06,
263,seventhhighest,,2.174136829279168e-06,
264,huh,,2.6856505694777992e-05,
265,adapting,,0.00012692589317318394,0.42882371691770615
266,downloads,,1.474343872232797e-05,
267,rendition,,6.491454468843626e-05,
268,sets,,0.0002589550446964228,0.04265649513527672
269,latinx,,0.00010619487678458353,1.7940646688397643
270,noticeable,,2.4115707248873502e-05,
271,foolproof,,3.85049199894962e-05,
272,lavender,,0.00010905353077990329,
273,enacting,,6.590820709201814e-05,0.2673583673373933
274,racial,0.17687695880677015,0.0002906656324826955,0.5115295420107261
275,kylo,,5.743449133222125e-06,
276,derrick,,2.689338527837492e-05,
277,conferences,,0.00023476530446410395,0.01739987146762298
278,braun,,4.935263202404442e-05,
279,routers,,3.2291724583965793e-06,
280,undeniably,,2.902252774623422e-05,
281,untested,,5.6337959471883095e-05,0.3181581490301866
282,musical,,0.00025811722107564996,0.9877748321799376
283,conflicted,,5.294856824628067e-05,
284,colliding,,4.6201971377136154e-06,
285,rutherford,,2.9417609136012904e-05,
286,accomplished,,0.00014165164400023475,0.28998727206349034
287,conversions,,1.166369637973022e-05,
288,stranded,,0.000212118888802129,0.6749111588760415
289,supermarkets,,0.0001851985871219688,0.7655655271441726
290,eyeball,,3.1732069763443607e-06,
291,hiatus,,9.259651226271321e-05,0.010273369260886072
292,boulder,,1.719809353178795e-05,
293,intense,0.23143647366601056,0.00040374051476487177,0.008400124879205769
294,culling,,6.3097243870146515e-06,
295,ferraro,,2.0709578572068016e-05,
296,restructure,,2.9936987219393374e-05,
297,hurried,,7.140333723371802e-06,
298,solomon,,1.782361165290831e-05,
299,hibernating,,3.3391018343076005e-06,
300,hardtofind,,2.6917971680591387e-06,
301,makers,,0.0001317340818730668,0.7933575444738311
302,pants,0.2292111709510791,0.00034122493457660073,0.17082793112783898
303,fenced,,4.4718440305417605e-06,
304,notsodistant,,3.0397939386136634e-06,
305,lawyers,,0.00027024073596862604,0.14427546088209653
306,metallic,,2.5562750038024077e-05,
307,amoral,,8.445244985550805e-06,
308,pall,,1.2883480644277591e-05,
309,mobs,,4.474532613799738e-06,
310,doria,,2.423902693694578e-05,
311,punishment,,9.038355771857483e-05,0.3124601279155491
312,torched,,1.3989156777372942e-05,
313,humankind,,1.6027385701215396e-05,
314,layoff,,9.08151018894249e-05,0.6885319373270808
315,strata,,1.26423606519846e-05,
316,campaignstyle,,4.894157816150788e-06,
317,nunes,,0.00010428786334244747,0.02793468557800895
318,daunted,,6.443421675341208e-06,
319,heat,0.2228655200295973,0.000341681945241622,0.36090599874365586
320,voted,0.23980627648245995,0.00047080086687933823,0.44030609777127105
321,stalked,,5.0982401780615755e-06,
322,differentiation,,1.3600437498056727e-05,
323,esthetician,,2.998239634739029e-05,
324,babymoon,,8.847937169565576e-06,
325,wallets,,1.5828309127629068e-05,
326,nonprescription,,1.0241660152922181e-05,
327,florida,0.30942894616413275,0.00177101244981289,0.23014692955561164
328,reminisce,,2.1140218437911738e-05,
329,asparagus,,4.3275624201796135e-05,
330,innovator,,6.159784287683429e-06,
331,outgunned,,2.8795093338156055e-06,
332,disoriented,,2.201696315300789e-05,
333,speaker,0.24941899829118697,0.0004693671795566822,0.07336352623871392
334,batted,,1.303444228236225e-05,
335,buffeted,,1.6168620374523642e-05,
336,luzon,,1.6799374907768824e-05,
